1,1213123,Andrei,Pop,32,0755422461
2,2323213,Mircea,Lungu,20,0755422461
3,1213123,Costel,Cotutiu,54,0755422461
4,4112875,Maria,Duma,76,0755422461
5,5636422,Irina,Stefan,12,0755422461
6,1213123,Cornel,Scurtu,39,0755422461
7,7545235,Vasile,Lung,19,0755422461
8,7655235,Andrei,Manea,19,0755422461
9,3243235,Stefan,Puscas,21,0755422461
10,4325357,Ioana,Pascanu,27,0755422461
11,3545231,Adriana,Hreime,22,0755422461
12,0856733,Costel,Sas,36,0755422461
13,8656234,Gabriel,Visu,65,0755422461
14,9232144,Cezar,Sfat,25,0755422461
15,7857452,Ion,Nastase,88,0755422461
16,0687431,Ionel,Bancu,25,0755422461
17,2676589,Ilie,Ungur,87,0755422461
18,2659836,Andrian,Maftei,25,0755422461
19,7543232,Iulian,Rus,49,0755422461
20,4365372,Marian,Andoni,54,0755422461
